"gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"0002 - RS","Sons of Horus","Crusade","Sky Hunter Phalanx","","Coordinated Assault","13","Vigilator",""
"0002 - RS","Shattered Legions","Leviathan","","","Shattering Bombardment","7","Delegatus",""
"0002 - RS","Emperor's Children","Castellan","Legion Recon Company","","Lord of the Abyss","3","Mortificator",""
"0002 - RS","Solar Auxilia","Castellan","","Raven Guard","Child of Terra","15","Legate Commander",""
"0002 - RS","Blackshields","Onslaught","Ironwing Protocol","","Master of the Vanguard","2","Delegatus",""
"0002 - RS","White Scars","Leviathan","The Day of Sorrow","","Siege Master","10","Champion",""
"0002 - RS","Questoris Knights","Leviathan","","","Target Priority","12","Lord Scion",""
"0002 - RS","Death Guard","Onslaught","","Mechanicum","Target Priority","11","Forge Lord",""
"0002 - RS","Iron Hands","Castellan","","","Connoisseur of Alien Curios","6","Master of Signals",""
"0002 - RS","Thousand Sons","Leviathan","The Cross of Bone","","Paladin of Glory","12","Master of Signals",""
"0002 - RS","Raven Guard","Crusade","The Steel Fist","","Siege Master","1","Delegatus",""
"0002 - RS","Sons of Horus","Onslaught","","","Immovable Object","13","Armistos",""
"0002 - RS","Iron Hands","Castellan","","Solar Auxilia","Master Tactician","13","Centurion",""
"0002 - RS","Iron Warriors","Castellan","Sagyar Mazan","","Lord of the Abyss","3","Praetor Tribune",""
"0002 - RS","Militia & Cults","Leviathan","","","Tenacity","4","Force Commander",""
"0002 - RS","Shattered Legions","Onslaught","The Pale Hunters","","Puissant Commander","12","Champion",""
"0002 - RS","Dark Angels","Castellan","Company of Bitter Iron","","Perfected Targeting","4","Armistos",""
"0002 - RS","Night Lords","Crusade","Creeping Death","","Puissant Commander","6","Vigilator",""
"0002 - RS","Death Guard","Onslaught","Vigil Opertii Mission","","Siege Master","7","Moritat",""
"0002 - RS","Night Lords","Onslaught","","","Strategic Genius","3","Vigilator",""
"0002 - RS","Sons of Horus","Onslaught","","","Master of Offence","2","Delegatus",""
"0002 - RS","Shattered Legions","Castellan","The Cross of Bone","","Battlefield Analysis","5","Armistos",""
"0002 - RS","Ultramarines","Castellan","","","Ruthless Tyrant","9","Master of Signals",""
"0002 - RS","Mechanicum","matrixOfRuin","Legio Cybernetica","","Battlefield Analysis","12","Magos Dominus",""
"0002 - RS","Solar Auxilia","Castellan","","","Void Walker","10","Legate Commander",""
"0002 - RS","Night Lords","Crusade","","Emperor's Children","Void Master","12","Librarian",""
"0002 - RS","Sons of Horus","Leviathan","Ironwing Protocol","Word Bearers","Conqueror of Cities","7","Librarian",""
"0002 - RS","Night Lords","Castellan","Vigil Opertii Mission","","Master of Ambush","8","Moritat",""
"0002 - RS","Blood Angels","Castellan","","","Uncanny Survivor","7","Primus Medicae",""
"0002 - RS","Death Guard","Crusade","","Militia & Cults","Master of Defence","15","Esoterist",""
"0002 - RS","Militia & Cults","Leviathan","","","Inspiring Presence","10","Platoon Commander",""
"0002 - RS","Iron Hands","Leviathan","Death Seekers","","Tenacity","9","Master of Signals",""
"0002 - RS","Imperial Fists","Castellan","The Storm of War","","Master of Mechanisms","11","Praetor",""
"0002 - RS","Raven Guard","Crusade","","","Strategic Genius","4","Siege Breaker",""
"0002 - RS","Alpha Legion","Castellan","Horror Cult","Iron Warriors","Battlefield Analysis","2","Chaplain",""
"0002 - RS","Militia & Cults","Castellan","","","Bitter Blood","5","Force Commander",""
"0002 - RS","Dark Angels","Castellan","The Bloodied Claws","","Void Walker","14","Praetor",""
"0002 - RS","Alpha Legion","Onslaught","The Storm of War","","Master of the Vanguard","15","Chaplain",""
"0002 - RS","Shattered Legions","Castellan","Ironfire","","Predictive Augury","13","Siege Breaker",""
"0002 - RS","Alpha Legion","Onslaught","Headhunter Leviathal","","Uncanny Survivor","1","Delegatus",""
"0002 - RS","Solar Auxilia","Leviathan","","","Bloody Handed","14","Lord Marshal",""
"0002 - RS","World Eaters","Crusade","The Dark Brethren","","Indomitable","8","Vigilator",""
"0002 - RS","Alpha Legion","Castellan","","","Puissant Commander","4","Praetor Tribune",""
"0002 - RS","Blood Angels","Leviathan","Primarch's Chosen","","The Dust of a Thousand Worlds","15","Warmonger",""
"0002 - RS","Questoris Knights","Onslaught","","","Favoured of Mars","15","Archmagos Draykavac",""
"0002 - RS","Space Wolves","Leviathan","Outlanders","","Night Attacker","10","Forge Lord",""
"0002 - RS","Iron Warriors","Crusade","Death Seekers","Blood Angels","Bitter Blood","3","Primus Nullificator",""
"0002 - RS","Word Bearers","Crusade","The Awakening Fire","","Master Tactician","10","Forge Lord",""
"0002 - RS","Space Wolves","Crusade","Vigil Opertii Mission","Imperial Fists","Strategic Genius","2","Forge Lord",""
"0002 - RS","Dark Angels","Onslaught","","","Robber Baron","9","Moritat",""
"0002 - RS","World Eaters","Onslaught","","Sons of Horus","Shattering Bombardment","8","Champion",""
"0002 - RS","Questoris Knights","Onslaught","","Sons of Horus","Uncanny Survivor","4","Archmagos Draykavac",""
"0002 - RS","Militia & Cults","Leviathan","","","Master of Ambush","14","Force Commander",""
"0002 - RS","Mechanicum","Onslaught","","","Ruthless Tyrant","10","Archmagos Dominus",""
"0002 - RS","Iron Hands","Onslaught","The Day of Sorrow","","Master of Ambush","7","Praetor",""
"0002 - RS","Alpha Legion","Crusade","Company of Bitter Iron","","Favoured of Mars","14","Siege Breaker",""
"0002 - RS","Dark Angels","Castellan","Company of Bitter Iron","","Conqueror of Cities","7","Siege Breaker",""
"0002 - RS","Thousand Sons","Leviathan","The Reaping","","Perfected Targeting","13","Forge Lord",""
"0002 - RS","Blackshields","Onslaught","Death Seekers","","Siege Master","13","Moritat",""
"0002 - RS","Emperor's Children","Crusade","The Cross of Bone","Word Bearers","Void Walker","14","Warmonger",""
"0002 - RS","Militia & Cults","Leviathan","","","Tenacity","13","Force Commander",""
"0002 - RS","White Scars","Leviathan","The Hammer of Olympia","","Uncanny Survivor","6","Librarian",""
"0002 - RS","Militia & Cults","Leviathan","","","Conqueror of Cities","14","Rogue Psyker",""
"0002 - RS","Iron Hands","Leviathan","Terror Assault","","Inspiring Presence","9","Praevian",""
"0002 - RS","Questoris Knights","Onslaught","","","Dread Rites","4","Archmagos Draykavac",""
"0002 - RS","Space Wolves","Castellan","","","Master of Ambush","2","Forge Lord",""
"0002 - RS","Death Guard","Onslaught","","","Connoisseur of Alien Curios","3","Mortificator",""
"0002 - RS","Questoris Knights","Onslaught","","","Predictive Augury","3","Archmagos Draykavac",""
"0002 - RS","Solar Auxilia","Castellan","","Thousand Sons","Master Tactician","2","Strategos",""
"0002 - RS","Alpha Legion","Leviathan","","","Inspiring Presence","12","Praetor Tribune",""
"0002 - RS","Ultramarines","Leviathan","","Militia & Cults","Master of Ambush","8","Primus Nullificator",""
"0002 - RS","Militia & Cults","Onslaught","","Iron Hands","Indomitable","5","Force Commander",""
"0002 - RS","Shattered Legions","Leviathan","Chymeriae","Death Guard","Shattering Bombardment","3","Librarian",""
"0002 - RS","Ultramarines","Leviathan","","","Glorious Renown","8","Armistos",""
"0002 - RS","Blood Angels","Leviathan","The Dark Brethren","","Beloved of the People","4","Librarian",""
"0002 - RS","Imperial Fists","Crusade","The Awakening Fire","","Uncanny Survivor","2","Champion",""
"0002 - RS","Alpha Legion","Castellan","Last of the Serrated Sun","Shattered Legions","Lord of the Abyss","2","Forge Lord",""
"0002 - RS","Imperial Fists","Onslaught","Decapitation Strike","Word Bearers","Glorious Renown","7","Siege Breaker",""
"0002 - RS","Ultramarines","Castellan","Angel's Wrath","","Night Attacker","12","Primus Medicae",""
"0002 - RS","Sons of Horus","Castellan","","","Blind Barrage","13","Master of Signals",""
"0002 - RS","White Scars","Onslaught","Headhunter Leviathal","Emperor's Children","Target Priority","12","Praetor Tribune",""
"0002 - RS","World Eaters","Crusade","","","Princeps of Deceit","5","Vigilator",""
"0002 - RS","World Eaters","Crusade","","","Shattering Bombardment","11","Siege Breaker",""
"0002 - RS","World Eaters","Crusade","","","Bloody Handed","13","Primus Medicae",""
"0002 - RS","Death Guard","Onslaught","Ironfire","","Master Tactician","4","Delegatus",""
"0002 - RS","Blackshields","Castellan","Hunter-Killer Mission","","Uncanny Survivor","14","Praetor",""
"0002 - RS","Questoris Knights","Crusade","","","Robber Baron","5","Lord Scion",""
"0002 - RS","White Scars","Crusade","Orphans of War","","Marcher Lord","7","Chaplain",""
"0002 - RS","Salamanders","Castellan","","","Inspiring Presence","3","Chaplain",""
"0002 - RS","Dark Angels","Castellan","3rd Company Elite","","Bitter Blood","13","Centurion",""
"0002 - RS","Salamanders","Leviathan","Horror Cult","","Tenacity","10","Forge Lord",""
"0002 - RS","Blood Angels","Leviathan","","Word Bearers","Coordinated Assault","5","Forge Lord",""
"0002 - RS","World Eaters","Castellan","","","Master of Defence","10","Praetor Tribune",""
"0002 - RS","Iron Warriors","Leviathan","The Eskaton Imperative","Ultramarines","Legendary Fighter","13","Esoterist",""
"0002 - RS","Word Bearers","Castellan","Decapitation Strike","","Favoured of Mars","7","Centurion",""
"0002 - RS","Iron Warriors","Castellan","","","Master of Offence","5","Warmonger",""
"0002 - RS","Night Lords","Leviathan","The Cross of Bone","","Strategic Genius","8","Praevian",""
"0002 - RS","Iron Hands","Leviathan","The Reaping","","Conqueror of Cities","3","Primus Nullificator",""
"0002 - RS","Imperial Fists","Leviathan","The Day of Revelation","","Battlefield Analysis","7","Mortificator",""
"0002 - RS","Iron Warriors","Castellan","Headhunter Leviathal","Militia & Cults","Marcher Lord","2","Vigilator",""
"0002 - RS","Iron Warriors","Castellan","Zone Mortalis Assault Force","","Night Attacker","6","Praevian",""
"0002 - RS","Alpha Legion","Castellan","The Bloodied Gauntlet","","Child of Terra","11","Moritat",""
"0002 - RS","Imperial Fists","Crusade","Orbital Assault","","Tenacity","4","Champion",""
"0002 - RS","Sons of Horus","Crusade","","","Princeps of Deceit","12","Mortificator",""
"0002 - RS","Shattered Legions","Onslaught","The Steel Fist","Blood Angels","Tenacity","11","Mortificator",""
"0002 - RS","Space Wolves","Leviathan","The Pale Hunters","","Master of Offence","7","Centurion",""
"0002 - RS","Thousand Sons","Leviathan","Sky Hunter Phalanx","Emperor's Children","Master of Defence","12","Primus Nullificator",""
"0002 - RS","Death Guard","Leviathan","Outlanders","","Favoured of Mars","14","Champion",""
"0002 - RS","Sons of Horus","Crusade","The Axis of Dissolution","","Merchant Princeling","9","Praetor Tribune",""
"0002 - RS","Night Lords","Crusade","Vigil Opertii Mission","","Glorious Renown","7","Librarian",""
"0002 - RS","Sons of Horus","Leviathan","The Bloodied Claws","","Master of Ambush","13","Primus Nullificator",""
"0002 - RS","Thousand Sons","Castellan","The Day of Sorrow","","Merchant Princeling","7","Master of Signals",""
"0002 - RS","Thousand Sons","Leviathan","","","Master of Offence","15","Warmonger",""
"0002 - RS","Solar Auxilia","Castellan","","","Merchant Princeling","6","Strategos",""
"0002 - RS","Iron Hands","Onslaught","Outcast Sons","","Tenacity","7","Primus Medicae",""
"0002 - RS","Night Lords","Onslaught","","","Beloved of the People","14","Herald",""
"0002 - RS","Salamanders","Onslaught","Angel's Wrath","","Siege Master","6","Armistos",""
"0002 - RS","Blood Angels","Onslaught","","","Glorious Renown","4","Champion",""
"0002 - RS","Shattered Legions","Crusade","Zone Mortalis Assault Force","","Divide to Conquer","10","Primus Nullificator",""
"0002 - RS","Mechanicum","Castellan","Legio Cybernetica","","Predictive Augury","12","Archmagos Draykavac",""
"0002 - RS","Imperial Fists","Leviathan","Terror Assault","","Target Priority","14","Centurion",""
"0002 - RS","Death Guard","Leviathan","Liberation Force","","Divide to Conquer","10","Primus Medicae",""
"0002 - RS","Space Wolves","Crusade","Outlanders","","Predictive Augury","2","Librarian",""
"0002 - RS","Salamanders","Onslaught","Armoured Breakthrough","Word Bearers","Battlefield Analysis","5","Armistos",""
"0002 - RS","White Scars","Castellan","The Black Reaving","","Uncanny Survivor","15","Primus Nullificator",""
"0002 - RS","Iron Warriors","Leviathan","","","Intimidating Presence","7","Forge Lord",""
"0002 - RS","Solar Auxilia","Leviathan","","Emperor's Children","Dread Rites","6","Auxilia Tank Commander",""
"0002 - RS","Mechanicum","Leviathan","","","Conqueror of Cities","3","Anacharis Scoria",""
"0002 - RS","Shattered Legions","Crusade","Ironfire","","Master of Mechanisms","10","Primus Nullificator",""
"0002 - RS","Salamanders","Crusade","","","Hell Rider","4","Primus Medicae",""
"0002 - RS","Questoris Knights","Crusade","","","Night Attacker","6","Archmagos Draykavac",""
"0002 - RS","Alpha Legion","Onslaught","Ironwing Protocol","","Strategic Genius","12","Forge Lord",""
"0002 - RS","Solar Auxilia","Onslaught","","Ultramarines","Void Master","12","Strategos",""
"0002 - RS","White Scars","Castellan","","","Perfected Targeting","7","Siege Breaker",""
"0002 - RS","Blackshields","Leviathan","The Day of Sorrow","","Void Walker","12","Moritat",""
"0002 - RS","Alpha Legion","Crusade","Decapitation Strike","Thousand Sons","Void Master","2","Centurion",""
"0002 - RS","World Eaters","Castellan","Creeping Death","Space Wolves","Hell Rider","1","Champion",""
"0002 - RS","Questoris Knights","Leviathan","","Alpha Legion","Master of Manoeuvre","6","Archmagos Draykavac",""
"0002 - RS","Thousand Sons","Crusade","","","Paladin of Glory","14","Praetor",""
"0002 - RS","Death Guard","Onslaught","","","The Dust of a Thousand Worlds","2","Champion",""
"0002 - RS","Dark Angels","Crusade","Zone Mortalis Assault Force","","Favoured of Mars","14","Siege Breaker",""
"0002 - RS","Blackshields","Castellan","The Storm of War","","Void Master","1","Siege Breaker",""
"0002 - RS","Blackshields","Crusade","Armoured Breakthrough","","Night Attacker","4","Esoterist",""
"0002 - RS","Death Guard","Castellan","Orphans of Betrayal","","Tenacity","2","Praetor Tribune",""
"0002 - RS","Mechanicum","Crusade","","Alpha Legion","Night Attacker","2","Magos Prime",""
"0002 - RS","World Eaters","Onslaught","The Pale Hunters","Salamanders","Strategic Genius","15","Delegatus",""
"0002 - RS","Iron Warriors","Onslaught","The Serpent's Bane","Sons of Horus","Uncanny Survivor","14","Praevian",""
"0002 - RS","Word Bearers","Leviathan","The Eskaton Imperative","","Princeps of Deceit","12","Primus Nullificator",""
"0002 - RS","Militia & Cults","Onslaught","","White Scars","Favoured of Mars","7","Platoon Commander",""
"0002 - RS","Blood Angels","Leviathan","The Cross of Bone","Alpha Legion","Battlefield Analysis","12","Praetor",""
"0002 - RS","Blood Angels","Crusade","Ravenwing Protocol","White Scars","Master of Defence","13","Praetor Tribune",""
"0002 - RS","World Eaters","Leviathan","","","World Burner","8","Mortificator",""
"0002 - RS","Dark Angels","Crusade","The Stone Gauntlet","","Master of Ambush","5","Esoterist",""
"0002 - RS","Shattered Legions","Crusade","","","Master of Defence","3","Primus Medicae",""
"0002 - RS","Mechanicum","Crusade","Ordo Reductor","","Dread Rites","14","Magos Reductor Calleb Decima",""
"0002 - RS","Word Bearers","Castellan","","","Master of Manoeuvre","14","Siege Breaker",""
"0002 - RS","White Scars","Castellan","","","Beloved of the People","15","Primus Nullificator",""
"0002 - RS","Solar Auxilia","Crusade","","","The Death of Flesh","12","Legate Commander",""
"0002 - RS","Death Guard","Castellan","Brethren of Iron","","Target Priority","2","Primus Nullificator",""
"0002 - RS","Imperial Fists","Crusade","","","Marcher Lord","9","Warmonger",""
"0002 - RS","Ultramarines","Onslaught","","Salamanders","Robber Baron","9","Primus Medicae",""
"0002 - RS","Imperial Fists","Onslaught","Sacrificial Offering","","World Burner","10","Vigilator",""
"0002 - RS","Militia & Cults","Leviathan","","Questoris Knights","Master Tactician","11","Rogue Psyker",""
"0002 - RS","Death Guard","Castellan","","","Blind Barrage","11","Esoterist",""
"0002 - RS","Imperial Fists","Crusade","Legion Recon Company","","Bitter Blood","14","Forge Lord",""
"0002 - RS","Solar Auxilia","Onslaught","","","Indomitable","2","Strategos",""
"0002 - RS","Sons of Horus","Onslaught","Chogorian Brotherhood","Alpha Legion","Beloved of the People","8","Warmonger",""
"0002 - RS","Salamanders","Castellan","Pride of the Legion","","Princeps of Deceit","3","Esoterist",""
"0002 - RS","Shattered Legions","Leviathan","","Solar Auxilia","Void Walker","12","Chaplain",""
"0002 - RS","Iron Hands","Leviathan","The Reaping","","Dread Rites","7","Master of Signals",""
"0002 - RS","Militia & Cults","Onslaught","","World Eaters","Ruthless Tyrant","4","Rogue Psyker",""
"0002 - RS","Ultramarines","Onslaught","Armoured Spearhead","Iron Hands","Indomitable","12","Warmonger",""
"0002 - RS","Shattered Legions","Leviathan","Sacrificial Offering","","Siege Master","4","Armistos",""
"0002 - RS","Word Bearers","Castellan","The Head of the Gorgon","","Connoisseur of Alien Curios","11","Praetor Tribune",""
"0002 - RS","Solar Auxilia","Leviathan","","","Ruthless Tyrant","3","Lord Marshal",""
"0002 - RS","Ultramarines","Crusade","","","Hell Rider","6","Praetor",""
"0002 - RS","World Eaters","Crusade","","","Child of Terra","5","Esoterist",""
"0002 - RS","Iron Warriors","Leviathan","","","Marcher Lord","5","Master of Signals",""
"0002 - RS","Questoris Knights","Onslaught","","Ultramarines","Bitter Blood","15","Seneschal",""
"0002 - RS","Blood Angels","Leviathan","","","Master of Offence","1","Vigilator",""
"0002 - RS","Alpha Legion","Crusade","The Steel Fist","","Beloved of the People","14","Praetor",""
"0002 - RS","Sons of Horus","Leviathan","Ravenwing Protocol","Alpha Legion","Divide to Conquer","9","Primus Nullificator",""
"0002 - RS","Sons of Horus","Onslaught","","","Void Master","5","Moritat",""
"0002 - RS","Thousand Sons","Onslaught","Liberation Force","","Child of Terra","7","Praevian",""
"0002 - RS","Questoris Knights","Onslaught","","","Marcher Lord","7","Lord Scion",""
"0002 - RS","Shattered Legions","Crusade","Zone Mortalis Assault Force","","Coordinated Assault","9","Siege Breaker",""
"0002 - RS","Word Bearers","Onslaught","The Hammer of Olympia","","Legendary Fighter","11","Master of Signals",""
"0002 - RS","Raven Guard","Castellan","Death Seekers","","Master of the Vanguard","10","Praetor Tribune",""
"0002 - RS","Iron Hands","Castellan","","","Robber Baron","9","Siege Breaker",""
"0002 - RS","White Scars","Leviathan","Decapitation Strike","Raven Guard","Master of Manoeuvre","2","Herald",""
"0002 - RS","Imperial Fists","Crusade","","","Master Tactician","1","Praevian",""
"0002 - RS","Blackshields","Onslaught","","","Master of Manoeuvre","12","Librarian",""
"0002 - RS","Dark Angels","Leviathan","","","Lord of the Abyss","13","Praetor Tribune",""
"0002 - RS","Questoris Knights","Leviathan","","Mechanicum","Bloody Handed","8","Lord Scion",""
"0002 - RS","Ultramarines","Onslaught","Pride of the Legion","","Master of Manoeuvre","7","Forge Lord",""
"0002 - RS","Militia & Cults","Crusade","","","Battlefield Analysis","15","Discipline Master",""
"0002 - RS","Shattered Legions","Castellan","The Axis of Dissolution","","Master of Manoeuvre","2","Praetor Tribune",""
"0002 - RS","Alpha Legion","Leviathan","Sacrificial Offering","","Master of Defence","2","Master of Signals",""
"0002 - RS","Iron Hands","Crusade","","Death Guard","Inspiring Presence","4","Champion",""
"0002 - RS","Iron Warriors","Onslaught","","","Perfected Targeting","1","Esoterist",""
"0002 - RS","Alpha Legion","Castellan","The Steel Fist","","Bloody Handed","10","Warmonger",""
"0002 - RS","Dark Angels","Castellan","","","Indomitable","7","Master of Signals",""
"0002 - RS","World Eaters","Castellan","The Axis of Dissolution","","Hell Rider","15","Vigilator",""
"0002 - RS","World Eaters","Onslaught","Armoured Breakthrough","","Master Tactician","15","Librarian",""
"0002 - RS","World Eaters","Leviathan","The Bloodied Claws","","Predictive Augury","5","Praetor Tribune",""
"0002 - RS","Iron Warriors","Leviathan","","","Marcher Lord","2","Mortificator",""
"0002 - RS","Blackshields","Leviathan","The Unbroken Vow","Space Wolves","Bloody Handed","13","Praetor",""
"0002 - RS","Iron Warriors","Onslaught","Armoured Spearhead","","Predictive Augury","9","Armistos",""
"0002 - RS","Solar Auxilia","Crusade","","Raven Guard","Child of Terra","8","Lord Marshal Ireton MaSade",""
"0002 - RS","Emperor's Children","Leviathan","Berserker Assault","","Immovable Object","2","Delegatus",""
"0002 - RS","Thousand Sons","Leviathan","The Steel Fist","Imperial Fists","Lord of the Abyss","13","Armistos",""
"0002 - RS","Salamanders","Onslaught","","","Conqueror of Cities","1","Esoterist",""
"0002 - RS","Word Bearers","Crusade","The Hammer of Olympia","Emperor's Children","Paladin of Glory","13","Esoterist",""
"0002 - RS","Militia & Cults","Crusade","","","Intimidating Presence","15","Platoon Commander",""
"0002 - RS","World Eaters","Crusade","The Covenant of Fire","Questoris Knights","Master of Ambush","7","Vigilator",""
"0002 - RS","Raven Guard","Onslaught","The Guard of the Crimson King","","Siege Master","3","Siege Breaker",""
"0002 - RS","Space Wolves","Onslaught","3rd Company Elite","Alpha Legion","Siege Master","2","Centurion",""
"0002 - RS","Word Bearers","Leviathan","The Long March","Blood Angels","Indomitable","9","Praevian",""
"0002 - RS","Raven Guard","Onslaught","The Awakening Fire","","Inspiring Presence","10","Chaplain",""
"0002 - RS","Questoris Knights","Castellan","","","Uncanny Survivor","9","Seneschal",""
"0002 - RS","Salamanders","Castellan","The Storm of War","","Master of Mechanisms","3","Librarian",""
"0002 - RS","Salamanders","Castellan","Orphans of Betrayal","Word Bearers","Dread Rites","1","Siege Breaker",""
"0002 - RS","Imperial Fists","Castellan","","","Marcher Lord","9","Forge Lord",""
"0002 - RS","Blood Angels","Castellan","Terror Assault","","Master of Manoeuvre","15","Warmonger",""
"0002 - RS","Iron Hands","Crusade","Sky Hunter Phalanx","","Divide to Conquer","12","Champion",""
"0002 - RS","Mechanicum","Onslaught","","World Eaters","Hell Rider","10","Secutarii Axiarch",""
"0002 - RS","Imperial Fists","Castellan","The Steel Fist","","Dread Rites","6","Delegatus",""
"0002 - RS","Raven Guard","Crusade","Ironfire","","Indomitable","14","Moritat",""
"0002 - RS","Space Wolves","Crusade","Orphans of Betrayal","Word Bearers","Master of Defence","5","Chaplain",""
"0002 - RS","Salamanders","Castellan","","","Master Tactician","12","Champion",""
"0002 - RS","Questoris Knights","Castellan","","","World Burner","11","Lord Scion",""
"0002 - RS","Blood Angels","Onslaught","The Eskaton Imperative","","Lord of the Abyss","12","Moritat",""
"0002 - RS","Blood Angels","Castellan","Last of the Serrated Sun","","Marcher Lord","2","Herald",""
"0002 - RS","Mechanicum","Castellan","Legio Cybernetica","","Master of the Vanguard","4","Magos reductor",""
"0002 - RS","Questoris Knights","Leviathan","","","Blind Barrage","9","Lord Scion",""
"0002 - RS","Mechanicum","Leviathan","Legio Cybernetica","","Night Attacker","1","Magos reductor",""
"0002 - RS","Ultramarines","Onslaught","Sacrificial Offering","","Shattering Bombardment","1","Praetor",""
"0002 - RS","Ultramarines","Onslaught","The Day of Sorrow","","Glorious Renown","10","Warmonger",""
"0002 - RS","Questoris Knights","Onslaught","","","Tenacity","15","Archmagos Draykavac",""
"0002 - RS","Solar Auxilia","Onslaught","","","Inspiring Presence","14","Lord Marshal Ireton MaSade",""
"0002 - RS","Blood Angels","Crusade","Hunter-Killer Mission","Death Guard","Tenacity","2","Praetor",""
"0002 - RS","Salamanders","Crusade","The Eskaton Imperative","Alpha Legion","Beloved of the People","2","Primus Medicae",""
"0002 - RS","Imperial Fists","Crusade","","Solar Auxilia","Strategic Genius","1","Praetor",""
"0002 - RS","Word Bearers","Leviathan","The Head of the Gorgon","Mechanicum","Legendary Fighter","15","Forge Lord",""
"0002 - RS","Iron Hands","Castellan","","","Master of Manoeuvre","15","Primus Nullificator",""
"0002 - RS","Night Lords","Castellan","Orphans of Betrayal","","Dread Rites","2","Primus Nullificator",""
"0002 - RS","Solar Auxilia","Crusade","","","Master Tactician","4","Legate Commander",""
"0002 - RS","Militia & Cults","Leviathan","","Alpha Legion","Master of Manoeuvre","11","Discipline Master",""
"0002 - RS","Mechanicum","matrixOfRuin","Ordo Reductor","","Master of Manoeuvre","4","Magos Prime",""
