"PlayerID","gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"UN","0166","Blackshields","Leviathan","Terror Assault","Sons of Horus","Child of Terra","3","Delegatus",""
"RT","0167","Blood Angels","Crusade","Headhunter Leviathal","","Glorious Renown","8","Chaplain",""
"AZ","0168","Space Wolves","Leviathan","","","Intimidating Presence","6","Herald",""
"BV","0169","Thousand Sons","Castellan","","","Battlefield Analysis","4","Siege Breaker",""
"WU","0170","Space Wolves","Leviathan","The Black Reaving","","Battlefield Analysis","10","Champion",""
"VM","0171","Imperial Fists","Crusade","","","Tenacity","9","Vigilator",""
"JO","0172","Emperor's Children","Crusade","","","Night Attacker","15","Armistos",""
"GY","0173","Blood Angels","Leviathan","Ravenwing Protocol","","Battlefield Analysis","9","Armistos",""
"RA","0174","Night Lords","Castellan","Brethren of Iron","","World Burner","11","Chaplain",""
"BK","0175","Imperial Fists","Onslaught","The Crimson Path","","Immovable Object","8","Champion",""
"IG","0176","Mechanicum","Crusade","","","Master of Manoeuvre","5","Archmagos Dominus",""
"KO","0177","Alpha Legion","Castellan","Berserker Assault","","Coordinated Assault","14","Warmonger",""
"GL","0178","Blood Angels","Onslaught","Chogorian Brotherhood","","Siege Master","7","Champion",""
"JP","0179","Blackshields","Onslaught","","Death Guard","Void Master","9","Vigilator",""
"IK","0180","Salamanders","Leviathan","Headhunter Leviathal","","Legendary Fighter","3","Herald",""
"TZ","0181","Raven Guard","Crusade","Hammerfell Strike Force","","Target Priority","11","Moritat",""
"KP","0182","Raven Guard","Castellan","Decapitation Strike","","Inspiring Presence","6","Chaplain",""
"MP","0183","Imperial Fists","Onslaught","","Iron Warriors","Inspiring Presence","14","Praetor",""
"BO","0184","Space Wolves","Castellan","The Black Reaving","","Indomitable","5","Herald",""
"EU","0185","Alpha Legion","Crusade","","","Intimidating Presence","6","Mortificator",""
"WJ","0186","Iron Warriors","Castellan","Outlanders","","Divide to Conquer","4","Forge Lord",""
"RY","0187","Raven Guard","Onslaught","Primarch's Chosen","","Master Tactician","14","Primus Nullificator",""
"PZ","0188","Solar Auxilia","Castellan","","","The Dust of a Thousand Worlds","15","Lord Marshal",""
"SE","0189","Word Bearers","Onslaught","","","Robber Baron","12","Mortificator",""
"AL","0190","Emperor's Children","Leviathan","","","Indomitable","5","Master of Signals",""
"ZT","0191","Blood Angels","Crusade","Ravenwing Protocol","","Blind Barrage","8","Master of Signals",""
"CL","0192","Salamanders","Castellan","Pride of the Legion","","Connoisseur of Alien Curios","15","Vigilator",""
"CA","0193","Alpha Legion","Castellan","Last of the Serrated Sun","Iron Warriors","Princeps of Deceit","13","Delegatus",""
"HS","0194","Raven Guard","Crusade","Outcast Sons","","Hell Rider","13","Centurion",""
"BB","0195","Emperor's Children","Onslaught","The Logos Lectora","","Master Tactician","7","Centurion",""
"HC","0196","Emperor's Children","Crusade","Fury of the Ancients","","Target Priority","9","Esoterist",""
"KK","0197","Iron Warriors","Castellan","The Cross of Bone","","Siege Master","15","Delegatus",""
"ZN","0198","Alpha Legion","Crusade","The Bloodied Claws","Salamanders","Princeps of Deceit","10","Vigilator",""
"PA","0199","Sons of Horus","Castellan","","","Master of Ambush","3","Master of Signals",""
"ZQ","0200","Iron Warriors","Onslaught","","","Strategic Genius","7","Esoterist",""
"CE","0201","Iron Hands","Leviathan","Pride of the Legion","","Legendary Fighter","4","Praetor",""
"WA","0202","Sons of Horus","Castellan","","Salamanders","Target Priority","10","Champion",""
"KF","0203","Sons of Horus","Leviathan","Terror Assault","","Coordinated Assault","6","Praevian",""
"OX","0204","Blood Angels","Onslaught","","","World Burner","3","Praetor Tribune",""
"ET","0205","Mechanicum","Castellan","Legio Cybernetica","","Conqueror of Cities","6","Archmagos Inar Satarael",""
"QH","0206","Emperor's Children","Onslaught","The Hammer of Olympia","Militia & Cults","Master of the Vanguard","7","Mortificator",""
"HB","0207","Thousand Sons","Onslaught","Terror Assault","","Coordinated Assault","7","Esoterist",""
"JK","0208","Imperial Fists","Leviathan","The Black Reaving","","Immovable Object","3","Herald",""
"BJ","0209","Space Wolves","Castellan","","","Legendary Fighter","8","Warmonger",""
"MN","0210","Dark Angels","Crusade","","White Scars","Master of Mechanisms","8","Warmonger",""
"VE","0211","Iron Warriors","Castellan","","","Siege Master","1","Moritat",""
"LV","0212","Shattered Legions","Castellan","The Dark Brethren","","Target Priority","2","Warmonger",""
"HO","0213","Raven Guard","Crusade","Primarch's Chosen","Salamanders","Master of Defence","14","Forge Lord",""
"JU","0214","Ultramarines","Crusade","The Eskaton Imperative","","Glorious Renown","7","Chaplain",""
"AH","0215","Questoris Knights","Crusade","","","Paladin of Glory","2","Archmagos Draykavac",""
"NU","0216","Iron Warriors","Leviathan","","Blood Angels","Favoured of Mars","12","Primus Nullificator",""
"PW","0217","Dark Angels","Onslaught","The Stone Gauntlet","","Master of Ambush","4","Mortificator",""
"ZA","0218","Mechanicum","Leviathan","Legio Cybernetica","","Night Attacker","15","Archmagos Dominus",""
"FA","0219","Sons of Horus","Castellan","","","Ruthless Tyrant","10","Praetor Tribune",""
"UM","0220","Space Wolves","Crusade","The Covenant of Fire","Iron Warriors","Target Priority","3","Praetor",""
"PK","0221","Blood Angels","Onslaught","Chymeriae","Death Guard","Master Tactician","11","Librarian",""
"QU","0222","Solar Auxilia","Onslaught","","","Master of Ambush","1","Legate Commander",""
"ML","0223","Emperor's Children","Leviathan","The Head of the Gorgon","","Blind Barrage","8","Siege Breaker",""
"RQ","0224","Raven Guard","Crusade","Sagyar Mazan","Imperial Fists","The Death of Flesh","13","Librarian",""
"BO","0225","Iron Hands","Leviathan","Creeping Death","","Lord of the Abyss","6","Chaplain",""
"YY","0226","Word Bearers","Onslaught","The Bloodied Gauntlet","","Puissant Commander","15","Forge Lord",""
"LA","0227","Shattered Legions","Crusade","Company of Bitter Iron","","The Dust of a Thousand Worlds","6","Primus Nullificator",""
"VA","0228","Iron Warriors","Castellan","","","Ruthless Tyrant","11","Champion",""
"LL","0229","World Eaters","Onslaught","Ravenwing Protocol","","Predictive Augury","3","Vigilator",""
"CQ","0230","Solar Auxilia","Castellan","","White Scars","Void Master","12","Strategos",""
"CP","0231","Blackshields","Onslaught","","Emperor's Children","Master of Mechanisms","9","Armistos",""
"WB","0232","Emperor's Children","Castellan","Hunter-Killer Mission","","Uncanny Survivor","6","Esoterist",""
"EH","0233","Militia & Cults","Castellan","","","Master of Offence","4","Discipline Master",""
"DB","0234","Word Bearers","Onslaught","Sacrificial Offering","","Indomitable","9","Armistos",""
"PC","0235","White Scars","Castellan","The Eskaton Imperative","","Master of Ambush","2","Centurion",""
"DS","0236","Questoris Knights","Crusade","","","World Burner","10","Seneschal",""
"PJ","0237","Blood Angels","Castellan","The Day of Revelation","","Immovable Object","1","Forge Lord",""
"FB","0238","Death Guard","Crusade","After Isstvan","","Merchant Princeling","8","Armistos",""
"TN","0239","Blood Angels","Crusade","Orphans of Betrayal","","Divide to Conquer","7","Esoterist",""
"HV","0240","Solar Auxilia","Leviathan","","","Target Priority","12","Auxilia Tank Commander",""
"PY","0241","Solar Auxilia","Onslaught","","","Target Priority","5","Lord Marshal Ireton MaSade",""
"ET","0242","Militia & Cults","Castellan","","","Bitter Blood","11","Rogue Psyker",""
"NL","0243","Shattered Legions","Castellan","","","Target Priority","14","Centurion",""
"VU","0244","Iron Hands","Onslaught","Creeping Death","","Master of Defence","4","Herald",""
"DT","0245","Alpha Legion","Crusade","The Maru Skara","","Ruthless Tyrant","12","Forge Lord",""
"DK","0246","Word Bearers","Leviathan","","","Child of Terra","12","Centurion",""
"VG","0247","Mechanicum","matrixOfRuin","","","Strategic Genius","5","Archmagos Inar Satarael",""
"TG","0248","Night Lords","Crusade","3rd Company Elite","","Hell Rider","14","Primus Nullificator",""
"FJ","0249","White Scars","Leviathan","Legion Recon Company","","Dread Rites","15","Mortificator",""
"NN","0250","Iron Warriors","Onslaught","The Pale Hunters","Shattered Legions","Target Priority","2","Praetor",""
"IT","0251","Blood Angels","Leviathan","","","Princeps of Deceit","9","Vigilator",""
"ZM","0252","Word Bearers","Onslaught","","","Void Walker","9","Armistos",""
"SE","0253","Shattered Legions","Castellan","","","Beloved of the People","6","Primus Medicae",""
"VK","0254","Ultramarines","Onslaught","Vigil Opertii Mission","","Connoisseur of Alien Curios","7","Esoterist",""
"UO","0255","Iron Warriors","Castellan","The Day of Revelation","","Indomitable","10","Vigilator",""
"XZ","0256","Militia & Cults","Leviathan","","","Favoured of Mars","2","Rogue Psyker Alpha",""
"QJ","0257","Sons of Horus","Crusade","Legion Recon Company","World Eaters","Lord of the Abyss","4","Herald",""
"RQ","0258","Dark Angels","Leviathan","The Long March","","Master Tactician","9","Primus Medicae",""
"KG","0259","Iron Hands","Crusade","","","Intimidating Presence","10","Champion",""
"YL","0260","Ultramarines","Onslaught","Outlanders","","Connoisseur of Alien Curios","6","Praetor Tribune",""
"FJ","0261","Raven Guard","Leviathan","The Dark Brethren","","Master of the Vanguard","11","Praevian",""
"MR","0262","Ultramarines","Onslaught","","Thousand Sons","Master of Ambush","11","Moritat",""
"OV","0263","Death Guard","Leviathan","The Logos Lectora","","Coordinated Assault","8","Warmonger",""
"SM","0264","Sons of Horus","Crusade","Drop Assault Vanguard","Thousand Sons","Void Walker","14","Master of Signals",""
"NB","0265","Thousand Sons","Leviathan","","Imperial Fists","Indomitable","4","Herald",""
"WS","0266","Salamanders","Leviathan","","","Hell Rider","6","Master of Signals",""
"KS","0267","Ultramarines","Onslaught","Ravenwing Protocol","","World Burner","4","Armistos",""
"UM","0268","Salamanders","Onslaught","The Maru Skara","","Puissant Commander","9","Praevian",""
"ZR","0269","Salamanders","Onslaught","Legion Recon Company","","Master of the Vanguard","11","Warmonger",""
"OL","0270","Iron Hands","Leviathan","","Death Guard","Bitter Blood","5","Praetor Tribune",""
"TG","0271","Alpha Legion","Leviathan","Sacrificial Offering","","Shattering Bombardment","2","Primus Medicae",""
"EU","0272","Raven Guard","Onslaught","The Cross of Bone","","Master of Defence","9","Praevian",""
"ER","0273","Alpha Legion","Castellan","The Axis of Dissolution","","Conqueror of Cities","9","Primus Nullificator",""
"OY","0274","Death Guard","Leviathan","The Axis of Dissolution","","Master of Mechanisms","1","Praetor",""
"OA","0275","Salamanders","Castellan","The Logos Lectora","","Dread Rites","2","Esoterist",""
"FV","0276","Questoris Knights","Onslaught","","","World Burner","12","Archmagos Draykavac",""
"QM","0277","Thousand Sons","Onslaught","Armoured Breakthrough","Mechanicum","Legendary Fighter","9","Moritat",""
"UK","0278","Dark Angels","Castellan","Decapitation Strike","","Target Priority","1","Herald",""
"JM","0279","Blood Angels","Onslaught","Liberation Force","","Void Master","5","Siege Breaker",""
"BD","0280","Solar Auxilia","Onslaught","","Blackshields","Shattering Bombardment","4","Lord Marshal",""
"EG","0281","Dark Angels","Onslaught","Terror Assault","","Bitter Blood","7","Primus Medicae",""
"AM","0282","Space Wolves","Castellan","","Word Bearers","Master of Defence","5","Centurion",""
"NJ","0283","World Eaters","Leviathan","The Pale Hunters","","Indomitable","14","Master of Signals",""
"ES","0284","White Scars","Crusade","","","Robber Baron","10","Librarian",""
"HW","0285","Blood Angels","Castellan","Sagyar Mazan","","Puissant Commander","12","Librarian",""
"HW","0286","Dark Angels","Onslaught","Berserker Assault","","Robber Baron","2","Armistos",""
"AX","0287","Raven Guard","Onslaught","","","The Dust of a Thousand Worlds","15","Champion",""
"NO","0288","Night Lords","Onslaught","Armoured Spearhead","Word Bearers","Target Priority","9","Vigilator",""
"WT","0289","Blackshields","Onslaught","Orphans of Betrayal","","Immovable Object","2","Moritat",""
"UE","0290","Questoris Knights","Crusade","","","Perfected Targeting","9","Seneschal",""
"BS","0291","Dark Angels","Castellan","The Cross of Bone","","Master of Mechanisms","2","Primus Nullificator",""
"RC","0292","Mechanicum","Leviathan","Legio Cybernetica","","Child of Terra","13","Magos Dominus",""
"KI","0293","World Eaters","Crusade","Berserker Assault","Space Wolves","Hell Rider","10","Primus Nullificator",""
"SI","0294","Ultramarines","Onslaught","Ironfire","Emperor's Children","Princeps of Deceit","5","Primus Nullificator",""
