"PlayerID","gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"PG","0118","Solar Auxilia","Castellan","","","Master of the Vanguard","2","Auxilia Tank Commander",""
"BE","0119","Blood Angels","Castellan","","","Favoured of Mars","10","Siege Breaker",""
"JK","0120","Iron Hands","Onslaught","Sacrificial Offering","","Indomitable","2","Librarian",""
"QG","0121","Raven Guard","Castellan","Sacrificial Offering","","Coordinated Assault","7","Champion",""
"KP","0122","Dark Angels","Crusade","Legion Recon Company","Shattered Legions","Blind Barrage","12","Armistos",""
"IS","0123","Blood Angels","Crusade","Armoured Breakthrough","","The Death of Flesh","1","Chaplain",""
"EQ","0124","Raven Guard","Crusade","Armoured Spearhead","Solar Auxilia","Robber Baron","4","Praetor",""
"QU","0125","White Scars","Leviathan","Zone Mortalis Assault Force","","Uncanny Survivor","2","Armistos",""
"SP","0126","Blood Angels","Onslaught","Orbital Assault","Blackshields","Battlefield Analysis","11","Primus Nullificator",""
"UE","0127","Thousand Sons","Castellan","Pride of the Legion","","Divide to Conquer","13","Primus Medicae",""
"VY","0128","Questoris Knights","Castellan","","","Battlefield Analysis","13","Archmagos Draykavac",""
"YG","0129","Dark Angels","Leviathan","","","Indomitable","4","Delegatus",""
"HD","0130","Blackshields","Leviathan","Armoured Spearhead","","Intimidating Presence","1","Armistos",""
"ZF","0131","Salamanders","Onslaught","Hunter-Killer Mission","Word Bearers","Target Priority","10","Primus Nullificator",""
"VX","0132","Raven Guard","Castellan","","","Perfected Targeting","13","Master of Signals",""
"FU","0133","Blood Angels","Crusade","","","Bloody Handed","12","Mortificator",""
"GM","0134","Emperor's Children","Castellan","Armoured Breakthrough","","Merchant Princeling","7","Mortificator",""
"FX","0135","Salamanders","Castellan","Primarch's Chosen","","Predictive Augury","14","Herald",""
"EF","0136","Raven Guard","Onslaught","","","Divide to Conquer","5","Forge Lord",""
"YN","0137","Blackshields","Castellan","Chymeriae","","Princeps of Deceit","13","Praevian",""
"II","0138","Blackshields","Onslaught","Chymeriae","","Void Master","3","Chaplain",""
"WF","0139","Iron Hands","Crusade","Orphans of Betrayal","","Void Master","8","Moritat",""
"UB","0140","World Eaters","Castellan","","","Master of Ambush","4","Esoterist",""
"GJ","0141","Death Guard","Leviathan","Orphans of Betrayal","","Void Walker","1","Praevian",""
"TB","0142","Death Guard","Crusade","Angel's Wrath","","Blind Barrage","4","Librarian",""
"AP","0143","White Scars","Leviathan","","Blackshields","Uncanny Survivor","3","Armistos",""
"YZ","0144","Iron Warriors","Onslaught","Ironfire","","Indomitable","4","Vigilator",""
"FS","0145","Iron Hands","Crusade","The Head of the Gorgon","","Robber Baron","13","Forge Lord",""
"QD","0146","Emperor's Children","Onslaught","Angel's Wrath","","Marcher Lord","8","Master of Signals",""
"OD","0147","Raven Guard","Crusade","Primarch's Chosen","","Coordinated Assault","11","Praevian",""
"QP","0148","Sons of Horus","Onslaught","After Isstvan","","Puissant Commander","6","Chaplain",""
"ZB","0149","Death Guard","Castellan","Pride of the Legion","","Ruthless Tyrant","13","Chaplain",""
"FW","0150","Blackshields","Onslaught","","","Master of Offence","9","Praevian",""
"SM","0151","Alpha Legion","Leviathan","","","Void Walker","10","Centurion",""
"MX","0152","Militia & Cults","Leviathan","","","Bloody Handed","2","Discipline Master",""
"BZ","0153","Space Wolves","Onslaught","The Bloodied Claws","Blackshields","Puissant Commander","6","Herald",""
"XS","0154","Thousand Sons","Leviathan","","","Paladin of Glory","9","Praetor Tribune",""
"JK","0155","Blood Angels","Crusade","","","Robber Baron","8","Master of Signals",""
"AQ","0156","World Eaters","Castellan","The Crimson Path","","Glorious Renown","1","Armistos",""
"GK","0157","Blackshields","Leviathan","Angel's Wrath","White Scars","Master of Ambush","5","Librarian",""
"KS","0158","Solar Auxilia","Onslaught","","","Coordinated Assault","15","Lord Marshal Ireton MaSade",""
"RJ","0159","Mechanicum","Leviathan","Ordo Reductor","","Strategic Genius","5","Archmagos Draykavac",""
"RS","0160","Sons of Horus","Onslaught","","Space Wolves","Master of the Vanguard","7","Master of Signals",""
"DX","0161","Iron Hands","Crusade","","","Master of Mechanisms","7","Chaplain",""
"CW","0162","Militia & Cults","Castellan","","Death Guard","Void Master","3","Force Commander",""
"NO","0163","White Scars","Castellan","Legion Recon Company","Militia & Cults","Shattering Bombardment","10","Warmonger",""
"WM","0164","Thousand Sons","Crusade","Primarch's Chosen","","The Dust of a Thousand Worlds","3","Vigilator",""
"JH","0165","Salamanders","Leviathan","Zone Mortalis Assault Force","Questoris Knights","Shattering Bombardment","11","Praevian",""
"SR","0166","Iron Warriors","Onslaught","The Hammer of Olympia","","Master Tactician","9","Librarian",""
"GC","0167","Night Lords","Leviathan","Armoured Spearhead","World Eaters","Shattering Bombardment","10","Esoterist",""
"EP","0168","Raven Guard","Leviathan","","","Glorious Renown","12","Siege Breaker",""
"BM","0169","Salamanders","Onslaught","","","Master Tactician","7","Siege Breaker",""
"KY","0170","Death Guard","Leviathan","","Iron Warriors","Bitter Blood","10","Armistos",""
"HD","0171","Blackshields","Onslaught","Armoured Breakthrough","","Night Attacker","8","Esoterist",""
"CM","0172","Blood Angels","Crusade","","World Eaters","Siege Master","1","Armistos",""
"MU","0173","Sons of Horus","Leviathan","","Raven Guard","Inspiring Presence","10","Siege Breaker",""
"YZ","0174","Iron Warriors","Castellan","","Space Wolves","Inspiring Presence","5","Praetor",""
"KP","0175","Raven Guard","Leviathan","After Isstvan","","Master of Offence","10","Vigilator",""
"DF","0176","Raven Guard","Crusade","Orphans of Betrayal","","Master of Manoeuvre","14","Master of Signals",""
"RR","0177","Sons of Horus","Onslaught","The Long March","","Siege Master","7","Esoterist",""
"MQ","0178","Sons of Horus","Leviathan","","","Immovable Object","6","Praevian",""
"MB","0179","Death Guard","Castellan","Sacrificial Offering","Word Bearers","Master of Mechanisms","11","Moritat",""
"ET","0180","Questoris Knights","Leviathan","","","The Dust of a Thousand Worlds","2","Seneschal",""
"RH","0181","Dark Angels","Onslaught","","","World Burner","9","Centurion",""
"AW","0182","Iron Warriors","Onslaught","","","Legendary Fighter","11","Primus Medicae",""
"PW","0183","Iron Warriors","Castellan","Outcast Sons","","The Dust of a Thousand Worlds","6","Warmonger",""
"XE","0184","Iron Warriors","Castellan","Orbital Assault","","Master Tactician","7","Chaplain",""
"RP","0185","Iron Hands","Onslaught","Armoured Breakthrough","","Child of Terra","2","Master of Signals",""
"DJ","0186","Dark Angels","Castellan","Sky Hunter Phalanx","","Coordinated Assault","2","Herald",""
"TW","0187","Dark Angels","Leviathan","The Serpent's Bane","","Intimidating Presence","13","Praetor",""
"RH","0188","Word Bearers","Crusade","Brethren of Iron","Iron Hands","Conqueror of Cities","7","Chaplain",""
"DO","0189","Blackshields","Castellan","","","Void Walker","14","Siege Breaker",""
"VP","0190","Night Lords","Onslaught","Pride of the Legion","Militia & Cults","Princeps of Deceit","6","Herald",""
"WG","0191","Ultramarines","Castellan","Angel's Wrath","","Connoisseur of Alien Curios","8","Mortificator",""
"AQ","0192","Iron Hands","Crusade","Orbital Assault","Emperor's Children","Bitter Blood","9","Moritat",""
"SZ","0193","Iron Hands","Onslaught","Brethren of Iron","","Shattering Bombardment","7","Moritat",""
"HU","0194","Imperial Fists","Onslaught","","","Master of Mechanisms","2","Praevian",""
"NR","0195","Imperial Fists","Castellan","After Isstvan","Death Guard","Master Tactician","1","Praetor Tribune",""
"UN","0196","Salamanders","Castellan","After Isstvan","Iron Hands","Marcher Lord","6","Herald",""
"KJ","0197","Imperial Fists","Leviathan","Armoured Breakthrough","","Coordinated Assault","11","Centurion",""
"JS","0198","Iron Hands","Crusade","Drop Assault Vanguard","","Bitter Blood","2","Armistos",""
"UQ","0199","Iron Hands","Onslaught","Armoured Spearhead","","Shattering Bombardment","14","Praetor Tribune",""
"KB","0200","Night Lords","Castellan","","","Shattering Bombardment","2","Librarian",""
"GB","0201","Word Bearers","Castellan","Last of the Serrated Sun","White Scars","Lord of the Abyss","3","Siege Breaker",""
"OD","0202","Raven Guard","Crusade","","","Beloved of the People","7","Vigilator",""
"YF","0203","Raven Guard","Onslaught","Fury of the Ancients","Questoris Knights","Void Master","2","Praetor Tribune",""
"AT","0204","Raven Guard","Castellan","Armoured Spearhead","White Scars","Divide to Conquer","4","Librarian",""
"IA","0205","Iron Hands","Crusade","","Death Guard","Master of Defence","8","Herald",""
"UE","0206","Imperial Fists","Onslaught","","","Master of Manoeuvre","14","Esoterist",""
"BV","0207","Raven Guard","Leviathan","Sky Hunter Phalanx","","Master of Offence","3","Praetor Tribune",""
"PV","0208","Death Guard","Onslaught","Angel's Wrath","","Immovable Object","6","Mortificator",""
"NJ","0209","Death Guard","Crusade","Zone Mortalis Assault Force","","Perfected Targeting","1","Librarian",""
"ME","0210","Dark Angels","Castellan","Armoured Breakthrough","","Beloved of the People","3","Delegatus",""
"JH","0211","Emperor's Children","Leviathan","Orbital Assault","World Eaters","Battlefield Analysis","8","Armistos",""
"XS","0212","Salamanders","Crusade","Drop Assault Vanguard","","Merchant Princeling","15","Librarian",""
"NN","0213","Salamanders","Crusade","","","Master of the Vanguard","6","Champion",""
"FT","0214","Raven Guard","Castellan","Fury of the Ancients","","Master of Ambush","13","Primus Medicae",""
"CJ","0215","Raven Guard","Castellan","Outcast Sons","Emperor's Children","Hell Rider","7","Primus Nullificator",""
"QJ","0216","Death Guard","Crusade","Orphans of Betrayal","World Eaters","Ruthless Tyrant","9","Primus Medicae",""
"BV","0217","Raven Guard","Castellan","Legion Recon Company","","Predictive Augury","12","Praetor Tribune",""
"JC","0218","Sons of Horus","Crusade","Primarch's Chosen","Raven Guard","Inspiring Presence","5","Praevian",""
"TM","0219","Shattered Legions","Onslaught","Hunter-Killer Mission","","Immovable Object","5","Forge Lord",""
"AK","0220","Emperor's Children","Onslaught","","Emperor's Children","Night Attacker","6","Forge Lord",""
"IL","0221","Raven Guard","Onslaught","Legion Recon Company","","Battlefield Analysis","11","Vigilator",""
"MV","0222","Shattered Legions","Leviathan","Sky Hunter Phalanx","","World Burner","12","Mortificator",""
"SN","0223","Sons of Horus","Onslaught","","","Predictive Augury","13","Primus Nullificator",""
"RI","0224","Salamanders","Crusade","","","Hell Rider","13","Moritat",""
"TG","0225","Imperial Fists","Crusade","Outcast Sons","Iron Warriors","Robber Baron","8","Primus Medicae",""
"LO","0226","World Eaters","Castellan","Outcast Sons","","Lord of the Abyss","10","Primus Nullificator",""
"XM","0227","World Eaters","Castellan","Outcast Sons","","Immovable Object","9","Armistos",""
"PM","0228","Iron Hands","Crusade","Armoured Breakthrough","","Battlefield Analysis","3","Herald",""
"WJ","0229","Word Bearers","Leviathan","After Isstvan","","Immovable Object","1","Primus Medicae",""
"SA","0230","Death Guard","Onslaught","Outcast Sons","","Divide to Conquer","2","Praevian",""
"NU","0231","Imperial Fists","Crusade","Drop Assault Vanguard","","Void Master","12","Champion",""
"JN","0232","World Eaters","Crusade","Zone Mortalis Assault Force","","Princeps of Deceit","3","Primus Nullificator",""
"MT","0233","Questoris Knights","Crusade","","","Puissant Commander","7","Lord Scion",""
"OR","0234","Iron Hands","Onslaught","Brethren of Iron","","Legendary Fighter","12","Moritat",""
"CN","0235","Emperor's Children","Onslaught","Sacrificial Offering","","Princeps of Deceit","2","Praetor",""
"YJ","0236","Solar Auxilia","Leviathan","","","Bitter Blood","4","Legate Commander",""
"NT","0237","Imperial Fists","Crusade","Zone Mortalis Assault Force","","Beloved of the People","15","Master of Signals",""
"BA","0238","Emperor's Children","Onslaught","Orphans of Betrayal","","Beloved of the People","11","Armistos",""
"LO","0239","Sons of Horus","Onslaught","","","Master of Ambush","10","Chaplain",""
"BS","0240","Imperial Fists","Crusade","Orbital Assault","Salamanders","Princeps of Deceit","8","Delegatus",""
"FV","0241","Dark Angels","Onslaught","Orbital Assault","Questoris Knights","Marcher Lord","6","Mortificator",""
"NE","0242","Night Lords","Crusade","","","Uncanny Survivor","1","Librarian",""
"GP","0243","Word Bearers","Castellan","Pride of the Legion","Militia & Cults","The Dust of a Thousand Worlds","13","Herald",""
"UZ","0244","Militia & Cults","Castellan","","Word Bearers","Coordinated Assault","14","Platoon Commander",""
"DR","0245","Mechanicum","Castellan","Taghmata Omnissiah","","Legendary Fighter","7","Archmagos Draykavac",""
"MD","0246","Night Lords","Crusade","","","World Burner","4","Primus Medicae",""
"IQ","0247","World Eaters","Castellan","","","Night Attacker","8","Warmonger",""
"WJ","0248","Dark Angels","Onslaught","","","The Dust of a Thousand Worlds","9","Chaplain",""
"LJ","0249","Night Lords","Onslaught","","World Eaters","Immovable Object","1","Mortificator",""
"LK","0250","Sons of Horus","Castellan","The Black Reaving","","Master of Ambush","4","Centurion",""
"PP","0251","Space Wolves","Crusade","","","Master of Manoeuvre","11","Master of Signals",""
"OP","0252","World Eaters","Leviathan","The Crimson Path","","The Death of Flesh","10","Herald",""
"HF","0253","Militia & Cults","Castellan","","","Master of Ambush","10","Platoon Commander",""
"GV","0254","Blackshields","Onslaught","Outlanders","","Void Walker","12","Praetor Tribune",""
"HM","0255","Blackshields","Castellan","Orbital Assault","Shattered Legions","Master of the Vanguard","1","Primus Medicae",""
"VR","0256","Blood Angels","Leviathan","Legion Recon Company","","Master of Mechanisms","12","Chaplain",""
"DU","0257","Death Guard","Onslaught","Primarch's Chosen","","Legendary Fighter","5","Primus Medicae",""
"UD","0258","Death Guard","Onslaught","Fury of the Ancients","Dark Angels","Target Priority","6","Herald",""
"TQ","0259","Sons of Horus","Onslaught","","","Inspiring Presence","3","Praevian",""
"ET","0260","Raven Guard","Leviathan","","","The Death of Flesh","5","Mortificator",""
"RC","0261","Raven Guard","Castellan","","","Princeps of Deceit","14","Siege Breaker",""
"UU","0262","Blackshields","Leviathan","","","Divide to Conquer","9","Chaplain",""
"HO","0263","Shattered Legions","Castellan","Drop Assault Vanguard","","Immovable Object","5","Esoterist",""
"VM","0264","Space Wolves","Castellan","Orphans of Betrayal","","Favoured of Mars","9","Herald",""
"AV","0265","World Eaters","Onslaught","","Dark Angels","The Dust of a Thousand Worlds","4","Armistos",""
"WI","0266","White Scars","Crusade","Drop Assault Vanguard","","The Death of Flesh","5","Chaplain",""
"DG","0267","Solar Auxilia","Onslaught","","","Child of Terra","13","Auxilia Tank Commander",""
"JH","0268","Night Lords","Onslaught","","","Battlefield Analysis","3","Warmonger",""
"GN","0269","Iron Hands","Onslaught","Pride of the Legion","","Battlefield Analysis","14","Praevian",""
"NJ","0270","Imperial Fists","Leviathan","Fury of the Ancients","White Scars","Target Priority","14","Praetor",""
"AV","0271","Shattered Legions","Leviathan","","","Master of Offence","9","Vigilator",""
"XS","0272","Sons of Horus","Onslaught","","","Merchant Princeling","15","Centurion",""
"MQ","0273","Imperial Fists","Onslaught","Drop Assault Vanguard","Imperial Fists","Child of Terra","13","Warmonger",""
"KH","0274","Sons of Horus","Leviathan","Sacrificial Offering","","Night Attacker","9","Warmonger",""
"ZX","0275","Space Wolves","Crusade","Brethren of Iron","","Shattering Bombardment","10","Master of Signals",""
"FQ","0276","Sons of Horus","Leviathan","","","Coordinated Assault","14","Warmonger",""
"JT","0277","Raven Guard","Leviathan","Armoured Spearhead","","Master Tactician","14","Mortificator",""
"YH","0278","Space Wolves","Onslaught","Fury of the Ancients","","The Death of Flesh","11","Chaplain",""
"CZ","0279","Dark Angels","Onslaught","Angel's Wrath","","Master of Mechanisms","9","Moritat",""
"UI","0280","White Scars","Leviathan","Armoured Breakthrough","","Paladin of Glory","3","Chaplain",""
"UH","0281","Iron Hands","Crusade","Fury of the Ancients","Shattered Legions","Merchant Princeling","12","Chaplain",""
"GN","0282","Raven Guard","Leviathan","Hunter-Killer Mission","","Intimidating Presence","11","Primus Nullificator",""
"QX","0283","Iron Warriors","Crusade","Armoured Breakthrough","Solar Auxilia","Predictive Augury","15","Delegatus",""
"KW","0284","Imperial Fists","Onslaught","","","Perfected Targeting","4","Chaplain",""
"RH","0285","Sons of Horus","Castellan","","","Target Priority","3","Herald",""
"ST","0286","Thousand Sons","Castellan","","Thousand Sons","Indomitable","14","Librarian",""
"AK","0287","Blackshields","Leviathan","Fury of the Ancients","","Bloody Handed","10","Esoterist",""
"KF","0288","Alpha Legion","Onslaught","Outcast Sons","","Conqueror of Cities","5","Vigilator",""
"PS","0289","Thousand Sons","Castellan","Fury of the Ancients","","Bitter Blood","15","Mortificator",""
